un	509
bet	240
kas	224
viņš	211
es	199
sacīja	181
no	169
jēzus	155
tad	143
ir	140
viņam	127
jūs	127
ka	118
viņu	113
to	110
bija	108
viņa	101
tas	98
jo	94
ko	87
lai	86
par	82
mani	81
tu	76
tie	73
pie	68
jums	66
tiem	59
atbildēja	58
ja	58
tā	55
uz	54
man	51
vai	50
nav	49
dieva	47
viņiem	46
kad	45
patiesi	45
esmu	43
ar	42
kā	42
tēvs	40
ne	34
mēs	34
arī	33
tāpēc	30
savu	30
kur	29
tam	29
nāk	28
sūtījis	28
viņi	26
dēls	26
jūdi	26
saku	26
šis	25
pats	24
vēl	24
esi	24
mācekļi	24
tur	24
aizgāja	24
kungs	23
viens	22
tev	22
cilvēks	21
atkal	21
sacīdams	20
neviens	20
tēva	19
pēc	19
jau	18
dienā	18
teica	17
manis	17
nekā	17
tās	17
dievs	16
dēļ	16
tic	16
kristus	16
tagad	16
tēvu	16
mums	15
acis	15
jūsu	15
deva	15
šī	15
dēlu	15
runāja	14
tos	14
kājas	14
jānis	14
sevi	14
debesīm	14
tevi	14
cilvēka	14
mana	14
ticēja	14
daudzi	14
mans	14
sacīdami	13
šo	13
visu	13
ūdeni	13
viņai	13
mūsu	12
mozus	12
cilvēku	12
visi	12
pasaulē	12
stunda	12
sevis	12
kāds	12
liecību	12
dod	12
būtu	12
maizi	11
dzīvība	11
gaisma	11
farizeji	11
lūk	11
mācekļiem	11
kurienes	11
avis	11
daudz	11
ļaudis	11
esat	10
sacīju	10
dievu	10
ticētu	10
savā	10
jēzu	10
redzēja	10
tanī	10
jūdu	10
atnāca	10
nevar	10
gars	10
balsi	10
runāju	10
runā	10
sieviete	10
zinu	10
daži	10
kāpēc	9
manas	9
rokas	9
rakstīts	9
vārdā	9
sava	9
svētnīcā	9
nāca	9
pirms	9
pravietis	9
pasaules	9
var	9
zinām	9
ūdens	9
neticat	9
dzīvību	9
vārdus	9
manu	9
šīs	9
būdams	8
kamēr	8
nebija	8
starp	8
neesmu	8
rabbi	8
palika	8
darīja	8
nācis	8
dara	8
gan	8
cits	8
citi	8
tikai	8
sauca	8
godu	8
maize	8
jeruzalemē	7
atvēra	7
savas	7
vienmēr	7
viņā	7
liecība	7
sūtīja	7
jautāja	7
saki	7
kam	7
iet	7
ikviens	7
dienas	7
brīnumus	7
farizejiem	7
darīt	7
dēlam	7
darbi	7
jūdiem	7
paliek	7
mūžam	7
svētkos	7
nonāvēt	7
darbus	7
nākt	7
saviem	7
redz	7
rakstus	6
lūdza	6
atrada	6
bauslībā	6
vārds	6
gaismu	6
šinī	6
pasaule	6
liecina	6
nāks	6
esam	6
jāņa	6
teicis	6
dzirdēja	6
brālis	6
seko	6
filips	6
saka	6
galilejas	6
gara	6
katrs	6
mūžīgā	6
lielāks	6
ej	6
tavs	6
meklē	6
gribu	6
staigā	6
meklēja	6
manus	6
pazīstu	6
pa	6
bijis	6
pastarā	6
atklāti	6
ābrahams	6
neredzīgs	6
gans	6
viņas	6
lācars	6
marta	6
notika	5
garu	5
šeit	5
vārdi	5
jeruzalemi	5
ārā	5
līdz	5
viss	5
caur	5
miesa	5
godību	5
sauc	5
nekad	5
redzējis	5
garā	5
redzēdams	5
sīmaņa	5
pēteris	5
nāc	5
patiess	5
nākusi	5
zināja	5
nu	5
zemes	5
mīlēja	5
vairāk	5
patiesību	5
paši	5
dzīvības	5
dzīvo	5
vairs	5
sakāt	5
ļaudīm	5
pateica	5
ēd	5
starpā	5
vārdu	5
galilejā	5
svētki	5
gultu	5
dzīvos	5
daru	5
divpadsmit	5
ēda	5
brīnumu	5
mūžīgi	5
gribat	5
eju	5
vecāki	5
javu	5
nomiris	5
visus	4
kurp	4
acīm	4
tai	4
atgriezās	4
miesas	4
sacījis	4
neticēja	4
miroņiem	4
grēku	4
patiesa	4
bauslību	4
taču	4
tuksnesī	4
kunga	4
nepazīstat	4
viņpus	4
otrā	4
redzēsi	4
stāvēja	4
meklējat	4
tulkojumā	4
pētera	4
dzirdējuši	4
vispirms	4
galileju	4
būt	4
tici	4
pār	4
māte	4
tika	4
brāļi	4
lieldienas	4
avju	4
kādu	4
nikodēms	4
mācītājs	4
dari	4
ieiet	4
dzimis	4
aiziet	4
dzīvi	4
tāpat	4
mūžīgo	4
pasauli	4
tiktu	4
netiek	4
netic	4
gaismas	4
zemē	4
izcēlās	4
visiem	4
mīl	4
jūdeju	4
nonāca	4
devis	4
dzer	4
mūžīgai	4
dzīvei	4
redzu	4
tēvi	4
kalnā	4
nezināt	4
atnāks	4
tūdaļ	4
tomēr	4
ēst	4
neesat	4
tavas	4
slimoja	4
padarīja	4
dīķī	4
zinādams	4
vietā	4
sabatā	4
neko	4
klausa	4
dzirdēs	4
pašam	4
sevī	4
atnācu	4
pāri	4
kopā	4
pasaulei	4
visa	4
dzīvā	4
būs	4
miesu	4
asinis	4
nodos	4
ļaunais	4
nevarat	4
pagodināts	4
būsiet	4
